codigo,produto,preco_de_lista,preco_de_campanha,desconto_de_campanha,quantidade_parcelas_sem_juros
1148-200-0249,"MS 162 Motosserra,61PMM3",1199.0,1199.0,-,10.0
1148-200-0244,"MS 172 Motosserra,35cm/14"",61PMM3",1399.0,1399.0,-,6.0
1148-200-0245,"MS 172 C-BE Motosserra,35cm/14"",61PMM3",1498.99,1499.0,-,6.0
1148-200-0246,"MS 182 Motosserra,40cm/16"",63PM3",1599.0,1599.0,-,6.0
1137-200-0338,"MS 194 T 3/8""P P Motosserra,30cm/12""",2499.0,2419.0,3201.0,6.0
1148-200-0247,"MS 212 Motosserra,40cm/16"",63PM3",1799.0,1749.0,2779.0,6.0
1148-200-0248,"MS 212 Motosserra,45cm/18"",63PM3",1819.0,1759.0,3.2990000000000004e+16,6.0
1123-200-0864,"MS 250 3/8""P P Motosserra,35cm/14"",63PMC",2199.0,2129.0,3183.0,6.0
1123-200-0865,"MS 250 3/8""P P Motosserra,40cm/16"",63PMC",2239.0,2169.0,3126.0,6.0
1121-200-0407,"MS 260 Motosserra,32cm/13"",26RS",2999.0,2909.0,3.001e+16,6.0
1121-200-0429,"MS 260 Motosserra,40cm/16"",26RS",3029.0,2939.0,2971.0,6.0
MB01-200-0059,"MS 363.0 Motosserra,40cm/16"",36RS",3999.0,3879.0,3.001e+16,6.0
MB01-200-0060,"MS 363.0 Motosserra,50cm/20"",36RS",4119.0,3999.0,2913.0,6.0
MB01-200-0061,"MS 363.0 Motosserra,40cm/16"",36RS",3939.0,3819.0,3046.0,6.0
MB01-200-0062,"MS 363.0 Motosserra,50cm/20"",36RS",3979.0,3859.0,3016.0,6.0
1119-200-0333,"MS 382 3/8"" R Motosserra,40cm/16"",36RS",4319.0,4189.0,3.01e+16,6.0
1119-200-0334,"MS 382 3/8"" R Motosserra,40cm/16"",36RS",4399.0,4269.0,2955.0,6.0
1119-200-0336,"MS 382 3/8"" R Motosserra,33cm/13"",36RS",4299.0,4169.0,3024.0,6.0
1119-200-0337,"MS 382 3/8"" R Motosserra,50cm/20"",36RS",4439.0,4309.0,2929.0,6.0
1119-200-0338,"MS 382 3/8"" R Motosserra,40cm/16"",36RS",4389.0,4259.0,2962.0,6.0
1119-200-0339,"MS 382 3/8"" R Motosserra,50cm/20"",36RS",4369.0,4239.0,2976.0,6.0
1119-200-0340,"MS 382 3/8"" R Motosserra,50cm/20"",36RS",4449.0,4319.0,2922.0,6.0
1142-200-0261,"MS 462 Motosserra,40cm/16"",36RS",4699.0,4559.0,2979.0,6.0
1142-200-0262,"MS 462 Motosserra,50cm/20"",36RS",4769.0,4629.0,2936.0,6.0
1142-200-0263,"MS 462 Motosserra,63cm/25"",36RS",4849.0,4699.0,3093.0,6.0
1144-200-0485,"MS 661 Motosserra,50cm/20"",36RS",5099.0,4949.0,2942.0,6.0
1144-200-0486,"MS 661 Motosserra,63cm/25"",36RS",5169.0,5009.0,3095.0,6.0
1144-200-0487,"MS 661 Motosserra,75cm/30"",36RS",5319.0,5159.0,3008.0,6.0
1208-200-0308,"MSE 141 C-Q 127V Serra elétr.,30cm/12""",1319.0,1279.0,3033.0,6.0
1208-200-0309,"MSE 141 C-Q 220V Serra elétr.,30cm/12""",1319.0,1279.0,3033.0,6.0
1209-200-0173,"MSE 170 C-BQ 127V Serra elétr., 30cm/12”",2199.0,2129.0,3183.0,6.0
1209-200-0174,"MSE 170 C-BQ 220V Serra elétr., 30cm/12”",2199.0,2129.0,3183.0,6.0
MA04-011-5803,"MSA 60.0 C-B 1/4""P Motosserra",1899.0,1839.0,316.0,6.0
MA04-011-5812,"MSA 60.0 C-B 1/4""P SET Motosserra",2909.0,2819.0,3.094e+16,6.0
MA04-011-5813,"MSA 60.0 C-B 1/4""P SET Motosserra",2909.0,2819.0,3.094e+16,6.0
MA04-011-5819,"MSA 70.0 C-B 1/4""P Motosserra",2099.0,2039.0,2859.0,6.0
MA04-011-5828,"MSA 70.0 C-B 1/4""P SET Motosserra",3409.0,3309.0,2933.0,6.0
MA04-011-5829,"MSA 70.0 C-B 1/4""P SET Motosserra",3409.0,3309.0,2933.0,6.0
MA03-200-0001,MSA 160.0 C-B Motosserra a bateria,2199.0,2129.0,3183.0,6.0
1252-200-0054,"MSA 161 T Motosserra à bateria,30cm/12""",3199.0,3099.0,3126.0,6.0
MA03-200-0024,MSA 200.0 C-B Motosserra a bateria,2499.0,2419.0,3201.0,6.0
MA03-200-0026,MSA 220.0 C-B Motosserra a bateria,2899.0,2809.0,3105.0,6.0
MA02-200-0047,MSA 300.0 C-O Motosserra à bateria,5999.0,5819.0,3.001e+16,6.0
MA02-200-0049,MSA 300.0 C-O Motosserra à bateria,6009.0,5829.0,2996.0,6.0
4313-200-0045,BT 131 Perfurador Solo - (S/ Broca),4449.0,4319.0,2922.0,6.0
4314-200-0022,BT 45 Furadeira com broca Ø13x320mm,3349.0,3249.0,2986.0,6.0
4314-200-0023,BT 45 Furadeira com broca Ø19x460mm,3399.0,3299.0,2942.0,6.0
4314-200-0024,BT 45 Furadeira com broca Ø25x460mm,3449.0,3349.0,2899.0,6.0
4314-200-0018,"BT 45 Furadeira com Broca de Plantio 3""",3779.0,3669.0,2911.0,6.0
4314-200-0019,"BT 45 Furadeira com Broca de Plantio 4""",3799.0,3689.0,2895.0,6.0
4314-200-0020,"BT 45 Furadeira com Broca de Plantio 5""",3849.01,3729.0,3118.0,6.0
6250-011-3930,MH 610.0 (BR) Motocultivador,3999.0,3879.0,3.001e+16,6.0
6251-011-3930,MH 710.0 (BR) Motocultivador,5799.0,5629.0,2932.0,6.0
VB03-011-2007,WP 300.0 Bomba de água,1999.0,1939.0,3.002e+16,6.0
VB04-011-2007,WP 600.0 Bomba de água,2499.0,2419.0,3201.0,6.0
VB05-011-2007,WP 900.0 Bomba de água,3499.0,3389.0,3144.0,6.0
4182-200-0197,"HT 135 Moto-poda,30cm/12"",61PMM3, passo da corrente: 3/8""",4299.0,4169.0,3024.0,6.0
4138-200-0053,"HT 75 Motopoda,30cm/12"", 3/8""P P  61PMM3",3619.0,3509.0,304.0,6.0
